source,target,weight
بورس,اولین,464
بورس,آمار,365
بورس,سهام,341
بورس,روزانه,304
بورس,معرفی,276
بورس,بنیادی,276
بورس,عرضه,221
بورس,تقاضا,220
بورس,nbsp,139
بورس,هفتگی,93
بورس,شاخص,66
بورس,روند,32
بورس,خرید و فروش,25
بورس,فارس,19
بورس,سرمایه,17
بورس,معامله,17
بورس,تغییرات,10
بورس,دیروز,9
بورس,اقتصاد,9
بورس,ارز,8
بورس,ایران,8
بورس,رشد,8
بورس,سرمایه گذاری,8
بورس,نقدینگی,7
بورس,ارزش,6
بورس,فرا,5
بورس,بورس کالا,5
بورس,نرخ ارز,5
بورس,دولت,4
بورس,صنعت,4
بورس,دلار,4
بورس,سازمان بورس و اوراق بهادار,3
بورس,پتروشیمی,3
بورس,نفت,3
بورس,بازار سهام,3
بورس,فولاد,3
بورس,بورس تهران,3
بورس,معاملات,3
بورس,سکه,2
بورس,وزارت صنعت معدن و تجارت,2
بورس,سرمایه گذاران,2
بورس,مشکلات,2
بورس,سازمان,2
بورس,رقابت,2
بورس,روسای,1
بورس,بازنگری,1
بورس,مالیات,1
بورس,مجمع,1
بورس,مردم,1
بورس,مسکن,1
بورس,تامین اجتماعی,1
بورس,بنزین,1
بورس,برجام,1
بورس,بانک مرکزی,1
بورس,منتهی,1
بورس,ناشی,1
بورس,نرخ سود بانکی,1
بورس,تبریز,1
بورس,بازار,1
بورس,امور اقتصادی و دارایی,1
بورس,هفته,1
بورس,اقتصاد کشور,1
بورس,همزمان,1
بورس,استان فارس,1
بورس,آینده,1
بورس,چای,1
بورس,چهارشنبه,1
بورس,کارشناسی,1
بورس,قانون,1
بورس,فلزات,1
بورس,روز,1
بورس,فرصت,1
بورس,زمین,1
بورس,زیرا,1
بورس,آذربایجان شرقی,1
بورس,سازمان خصوصی سازی,1
بورس,راه,1
بورس,رئیس کل بانک مرکزی,1
بورس,ذهن,1
بورس,سه گانه,1
بورس,دی ماه,1
بورس,سهام عدالت,1
بورس,درآمد,1
بورس,خودرو,1
بورس,شرکت,1
بورس,شرکتی,1
بورس,حقوق,1
بورس,طلای جهانی,1
بورس,عالی,1
بورس,تورم,1
بورس,عضویت,1
بورس,تنظیم بازار,1
بورس,تجارت,1
بورس,کارگزاری,1
